,상호명,소분류,도로명,별점,URL
0,SMC싱푸차이나,중식당,서울 강남구 일원로 81 삼성의료원본관 지하1층,4.17,https://pcmap.place.naver.com/restaurant/1709585551/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578690192
1,팀호완 삼성점,"딤섬,중식만두",서울 강남구 봉은사로86길 30 1층,4.38,https://pcmap.place.naver.com/restaurant/1209180080/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578727558
2,쮸즈,"딤섬,중식만두",서울 강남구 도산대로17길 13,4.38,https://pcmap.place.naver.com/restaurant/34786487/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578766749
3,딤딤섬 파르나스몰점,"딤섬,중식만두",서울 강남구 테헤란로 521 파르나스몰 지하 1층,4.32,https://pcmap.place.naver.com/restaurant/1612703330/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578840095
4,무탄,중식당,서울 강남구 논현로176길 22 1층,4.36,https://pcmap.place.naver.com/restaurant/1044096368/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578876012
5,라공방 강남1호 본점,중식당,서울 강남구 테헤란로4길 6,4.2,https://pcmap.place.naver.com/restaurant/1511767425/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578898971
6,중경마라탕 강남역점,중식당,서울 강남구 테헤란로1길 44,4.52,https://pcmap.place.naver.com/restaurant/1761717994/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578919801
7,루위,중식당,서울 강남구 도산대로 211 동현빌딩 1F,4.64,https://pcmap.place.naver.com/restaurant/65729586/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578943913
8,니뽕내뽕 코엑스점,중식당,서울 강남구 봉은사로 524 코엑스인터콘티넨탈서울,4.25,https://pcmap.place.naver.com/restaurant/37463474/review?entry=bmp&from=map&fromPanelNum=2&ts=1651578971687
9,소각,중식당,서울 강남구 강남대로160길 17 1층,4.88,https://pcmap.place.naver.com/restaurant/1400123055/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579001656
10,남소관 우육도삭면,중식당,서울 강남구 테헤란로1길 19,4.41,https://pcmap.place.naver.com/restaurant/1812494362/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579023510
11,공리,중식당,서울 강남구 선릉로129길 24,4.54,https://pcmap.place.naver.com/restaurant/13150137/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579049635
12,인량훠궈,중식당,서울 강남구 강남대로140길 9 비피유빌딩 B1,4.78,https://pcmap.place.naver.com/restaurant/1290591526/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579071572
13,시추안하우스 삼성점,양꼬치,서울 강남구 테헤란로87길 29 M타워 1층,4.39,https://pcmap.place.naver.com/restaurant/13179957/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579092414
14,무한숯불양고치&훠궈,중식당,서울 강남구 봉은사로2길 37 지상2층 (역삼동),4.76,https://pcmap.place.naver.com/restaurant/991858885/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579258248
15,파불라,중식당,서울 강남구 도산대로81길 51 루미안빌딩 1층,4.53,https://pcmap.place.naver.com/restaurant/37609477/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579308572
16,샤오당쟈마라탕 신사본점,중식당,서울 강남구 강남대로152길 30 2층,4.56,https://pcmap.place.naver.com/restaurant/1748847479/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579349482
17,마라공방 역삼점,중식당,서울 강남구 봉은사로30길 68,4.69,https://pcmap.place.naver.com/restaurant/1158582407/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579394837
18,미엔아이 천등,아시아음식,서울 강남구 봉은사로4길 32 1층,4.7,https://pcmap.place.naver.com/restaurant/1124870307/review?entry=bmp&from=map&fromPanelNum=2&ts=1651579596509
