,상호명,소분류,도로명,별점,URL
0,카페 노티드 청담,카페,서울 강남구 도산대로53길 15 1층,4.44,https://pcmap.place.naver.com/restaurant/895457986/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514612089
1,카페 노티드 삼성,카페,서울 강남구 테헤란로103길 9 1층,4.5,https://pcmap.place.naver.com/restaurant/1182668560/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514652328
2,SADDLER HAUS,와플,서울 강남구 도산대로17길 10 B1 새들러하우스,4.55,https://pcmap.place.naver.com/restaurant/38328122/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514689728
3,아티제 일원점,카페,서울 강남구 일원로 81 삼성의료원본관 지하1층,4.28,https://pcmap.place.naver.com/restaurant/32891544/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514708370
4,스타벅스 코엑스몰점,카페,서울 강남구 봉은사로 524,4.43,https://pcmap.place.naver.com/restaurant/34807311/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514732367
5,이디야커피랩,카페,서울 강남구 논현로 636 이디야빌딩,4.46,https://pcmap.place.naver.com/restaurant/12107143/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514751960
6,테라로사 포스코센터점,카페,서울 강남구 테헤란로 440 1층,4.49,https://pcmap.place.naver.com/restaurant/1542149931/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514770263
7,스타벅스 강남R점,카페,서울 강남구 강남대로 390,4.5,https://pcmap.place.naver.com/restaurant/1086067689/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514788054
8,스타벅스 삼성역섬유센터R점,카페,서울 강남구 테헤란로 518,4.51,https://pcmap.place.naver.com/restaurant/1729749058/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514826737
9,도산맘마미아,"카페,디저트",서울 강남구 압구정로42길 45,4.36,https://pcmap.place.naver.com/restaurant/1600727618/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514858624
10,풀바셋 일원역점,카페,서울 강남구 일원로 121 101호,4.57,https://pcmap.place.naver.com/restaurant/1560525842/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514877916
11,소진담 신사점,"카페,디저트","서울 강남구 논현로161길 51 B1, 1F",4.49,https://pcmap.place.naver.com/restaurant/1865631399/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514895670
12,엠즈씨드,테이크아웃커피,서울 강남구 도산대로75길 20,4.41,https://pcmap.place.naver.com/restaurant/34522721/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514913868
13,풀바셋 강남구청역점,카페,서울 강남구 학동로 401 금하빌딩 1층,4.49,https://pcmap.place.naver.com/restaurant/37775621/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514938740
14,C27 가로수길점,카페,서울 강남구 도산대로15길 39,4.27,https://pcmap.place.naver.com/restaurant/37098004/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514959715
15,바나프레소 역삼점,바나프레소,서울 강남구 논현로94길 13,4.17,https://pcmap.place.naver.com/restaurant/1530507528/review?entry=bmp&from=map&fromPanelNum=1&ts=1652514984258
16,테라로사 코엑스점,카페,서울 강남구 영동대로 513 코엑스 1층 남2문 옆,4.4,https://pcmap.place.naver.com/restaurant/36779618/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515003058
17,투썸플레이스 신논현역점,카페,서울 강남구 강남대로 476,4.44,https://pcmap.place.naver.com/restaurant/37572989/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515022743
18,스타벅스 압구정미소점,카페,서울 강남구 논현로 841,4.44,https://pcmap.place.naver.com/restaurant/11684155/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515049390
19,에이비카페 At Bali,카페,서울 강남구 강남대로102길 32,4.44,https://pcmap.place.naver.com/restaurant/1098819515/review?entry=bmp&from=map&fromPanelNum=1&ts=1652515068590
