,상호명,소분류,도로명,별점,URL
0,아우어베이커리 도산본점,베이커리,서울 강남구 도산대로45길 10-11 JYC2빌딩,4.45,https://pcmap.place.naver.com/restaurant/37941875/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510373618
1,아우어베이커리 가로수길점,베이커리,서울 강남구 강남대로162길 39,4.46,https://pcmap.place.naver.com/restaurant/1207253764/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510394230
2,노아베이커리 압구정점,베이커리,서울 강남구 압구정로30길 9,4.51,https://pcmap.place.naver.com/restaurant/32269733/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510431483
3,파리바게뜨 양재본점,베이커리,서울 강남구 남부순환로 2627 (도곡동) 영진빌딩 1층,4.41,https://pcmap.place.naver.com/restaurant/11684212/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510455781
4,김영모과자점 강남구청점,,서울 강남구 선릉로126길 6,4.46,https://pcmap.place.naver.com/restaurant/449478032/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510488744
5,김영모과자점 대치점,베이커리,"서울 강남구 남부순환로 2927 대치 클래시아 108,109호",4.46,https://pcmap.place.naver.com/restaurant/37871358/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510508539
6,파리크라상 삼성역키친점,베이커리,서울 강남구 테헤란로 528 슈페리어타워 1층,4.44,https://pcmap.place.naver.com/restaurant/37435002/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510527133
7,파리크라상 도곡점,베이커리,"서울 강남구 언주로30길 27 (도곡동, 오피스텔및 공동주택) 우성리빙텔 1층",4.43,https://pcmap.place.naver.com/restaurant/30824672/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510638648
8,삼송빵집 신논현점,베이커리,서울 강남구 봉은사로 102 신논현역 지하 2층 3호,4.51,https://pcmap.place.naver.com/restaurant/1995214669/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510675102
9,노아베이커리 GFC점,베이커리,서울 강남구 테헤란로 152 B1,4.53,https://pcmap.place.naver.com/restaurant/36744553/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510731591
10,비파티세리,베이커리,서울 강남구 압구정로14길 36 인자빌딩 1-4층 비파티세리,4.43,https://pcmap.place.naver.com/restaurant/1584307184/review?entry=bmp&from=map&fromPanelNum=1&ts=1652512916657
11,타르틴베이커리 도산점,베이커리,서울 강남구 언주로168길 24,4.38,https://pcmap.place.naver.com/restaurant/1650247686/review?entry=bmp&from=map&fromPanelNum=1&ts=1652512926786
12,아우어베이커리 싸이더스점,베이커리,서울 강남구 선릉로 629 싸이더스HQ타워 A동 1층,4.41,https://pcmap.place.naver.com/restaurant/773592092/review?entry=bmp&from=map&fromPanelNum=1&ts=1652512961348
13,파리바게뜨 대청타워점,베이커리,서울 강남구 개포로 623 대청타워,4.28,https://pcmap.place.naver.com/restaurant/18419698/review?entry=bmp&from=map&fromPanelNum=1&ts=1652512988504
14,파리바게뜨 신분당선강남역점,베이커리,서울 강남구 강남대로 396 강남역,4.39,https://pcmap.place.naver.com/restaurant/31501054/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513044625
15,파리바게뜨 카페선릉점,베이커리,서울 강남구 선릉로 517 (역삼동) 1층,4.38,https://pcmap.place.naver.com/restaurant/19406265/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513081138
16,바게트케이,베이커리,서울 강남구 테헤란로34길 21-10,4.48,https://pcmap.place.naver.com/restaurant/37362104/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513114663
17,파리바게뜨 압구정역점,베이커리,"서울 강남구 논현로 868 (신사동 610-5,구정빌딩)",4.36,https://pcmap.place.naver.com/restaurant/20122787/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513134660
18,베이커리로컬 강남역점,베이커리,서울 강남구 강남대로102길 15,4.41,https://pcmap.place.naver.com/restaurant/1960037085/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513167926
19,밀도 한티역점,베이커리,서울 강남구 선릉로 312,4.43,https://pcmap.place.naver.com/restaurant/66779102/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513201240
20,파리바게뜨 강남역점,베이커리,서울 강남구 강남대로 428 만이빌딩,4.37,https://pcmap.place.naver.com/restaurant/1912032551/review?entry=bmp&from=map&fromPanelNum=1&ts=1652513239280
21,김영모과자점 도곡타워점,베이커리,서울 강남구 언주로30길 10 현대비젼21,4.47,https://pcmap.place.naver.com/restaurant/12447840/review?entry=bmp&from=map&fromPanelNum=1&ts=1652510410074
