,상호명,소분류,도로명,별점,URL
0,울프강 스테이크하우스,"스테이크,립",서울 강남구 선릉로152길 21,4.49,https://pcmap.place.naver.com/restaurant/36449091/review?entry=bmp&from=map&fromPanelNum=1&ts=1652506937176
1,어글리스토브 신논현강남역점,브런치,서울 강남구 강남대로98길 20,4.34,https://pcmap.place.naver.com/restaurant/35603926/review?entry=bmp&from=map&fromPanelNum=1&ts=1652506975088
2,바비레드 강남본점,이탈리아음식,서울 강남구 봉은사로6길 39,4.4,https://pcmap.place.naver.com/restaurant/21607745/review?entry=bmp&from=map&fromPanelNum=1&ts=1652506998208
3,치즈룸 안다즈,이탈리아음식,서울 강남구 논현로 854 안다즈호텔 지하 1층 112호,4.58,https://pcmap.place.naver.com/restaurant/1297585187/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507059197
4,페어링룸,이탈리아음식,서울 강남구 도산대로81길 14 청담동 1층,4.49,https://pcmap.place.naver.com/restaurant/38692429/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507077790
5,어거스트 힐 강남점,양식,서울 강남구 강남대로106길 25,4.56,https://pcmap.place.naver.com/restaurant/661051254/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507106549
6,다운타우너 청담,햄버거,서울 강남구 도산대로53길 14 1층,4.6,https://pcmap.place.naver.com/restaurant/887123043/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507146259
7,마초쉐프 강남본점,이탈리아음식,서울 강남구 강남대로106길 29 1층,4.71,https://pcmap.place.naver.com/restaurant/36250128/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507172594
8,스킬렛 스테이크하우스,"스테이크,립",서울 강남구 논현로161길 57,4.65,https://pcmap.place.naver.com/restaurant/35372688/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507191439
9,리틀넥 청담,이탈리아음식,서울 강남구 도산대로51길 17,4.5,https://pcmap.place.naver.com/restaurant/36963396/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507227595
