,상호명,소분류,도로명,별점,URL
0,은행골 신사점,"초밥,롤",서울 강남구 강남대로152길 42 2층,0.0,https://pcmap.place.naver.com/restaurant/31363816/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580170081
1,압구정하루,일식당,서울 강남구 언주로172길 56,0.0,https://pcmap.place.naver.com/restaurant/11710847/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580189103
2,갓덴스시 강남점,"초밥,롤",서울 강남구 테헤란로 109 강남제일빌딩,4.44,https://pcmap.place.naver.com/restaurant/19896618/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580210068
3,후레쉬빌 삼성역본점,돈가스,서울 강남구 테헤란로108길 19,4.67,https://pcmap.place.naver.com/restaurant/37397766/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580228904
4,미미면가,일식당,서울 강남구 강남대로160길 29,4.26,https://pcmap.place.naver.com/restaurant/21693586/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580319170
5,샤블리,샤브샤브,서울 강남구 강남대로152길 35 2층,4.74,https://pcmap.place.naver.com/restaurant/1417591954/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580335453
6,감탄성신,일식당,서울 강남구 강남대로106길 14 지상1층,4.54,https://pcmap.place.naver.com/restaurant/1805562801/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580384448
7,이끼롤까스 가로수길점,돈가스,서울 강남구 강남대로156길 35,4.51,https://pcmap.place.naver.com/restaurant/21418931/review/visitor?entry=bmp&from=map&fromPanelNum=2&ts=1651580402116#
8,상무초밥 강남역점,"초밥,롤",서울 강남구 봉은사로 111 es타워 1층,4.4,https://pcmap.place.naver.com/restaurant/1653433739/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580423416
9,스시메이진 강남점,"일식,초밥뷔페",서울 강남구 강남대로 432 점프밀라노 5층,4.05,https://pcmap.place.naver.com/restaurant/1937576813/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580447055
10,미도인 강남,일식당,서울 강남구 강남대로102길 16 지상 2층,4.4,https://pcmap.place.naver.com/restaurant/1427134948/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580468346
11,부타이 1막,일식당,서울 강남구 테헤란로88길 22,4.47,https://pcmap.place.naver.com/restaurant/1144038812/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580491208
12,정돈 강남점,돈가스,서울 강남구 강남대로110길 26 1층,4.55,https://pcmap.place.naver.com/restaurant/1183428863/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580513105
13,스시마이우 강남CGV점,"초밥,롤",서울 강남구 강남대로102길 14 장연빌딩,4.55,https://pcmap.place.naver.com/restaurant/38278847/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580533792
14,홈수끼 학동점,샤브샤브,서울 강남구 언주로 708,0.0,https://pcmap.place.naver.com/restaurant/36465914/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580552315
15,카메스시,"초밥,롤",서울 강남구 선릉로121길 7,4.79,https://pcmap.place.naver.com/restaurant/1271618346/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580572860
16,샤브쌈주머니 서울강남점,샤브샤브,서울 강남구 테헤란로5길 11,4.4,https://pcmap.place.naver.com/restaurant/35516698/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580588222
17,온기정,일식당,서울 강남구 압구정로4길 13-9 1층,4.31,https://pcmap.place.naver.com/restaurant/1946248827/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580611682
18,카츠바이콘반,일식당,서울 강남구 선릉로153길 36,4.58,https://pcmap.place.naver.com/restaurant/1573951163/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580634170
19,청담돈,일식당,서울 강남구 도산대로49길 11 2층 청담돈,4.62,https://pcmap.place.naver.com/restaurant/1773013473/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580663709
20,마코토 청담점,일식당,서울 강남구 압구정로80길 37 에이스빌딩 2층,4.35,https://pcmap.place.naver.com/restaurant/20451517/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580686711
21,지구당 선릉역점,덮밥,서울 강남구 테헤란로 409 1층,4.35,https://pcmap.place.naver.com/restaurant/1828080551/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580727029
22,호호식당 도산공원,일식당,서울 강남구 도산대로49길 29-6,4.69,https://pcmap.place.naver.com/restaurant/1772605537/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580747221
23,스시롭다,일식당,"서울 강남구 학동로2길 49 1, 2층",4.51,https://pcmap.place.naver.com/restaurant/1105443717/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580825492
24,이승재참치,일식당,서울 강남구 역삼로63길 22 2층,4.7,https://pcmap.place.naver.com/restaurant/1639596346/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580907870
25,올바른스시 강남역점,"초밥,롤",서울 강남구 봉은사로4길 40 1층,4.62,https://pcmap.place.naver.com/restaurant/1777519480/review?entry=bmp&from=map&fromPanelNum=2&ts=1651580947001
26,야스노야 지로 압구정점,일식당,서울 강남구 논현로163길 13-5 한가빌딩 1층,4.62,https://pcmap.place.naver.com/restaurant/1675999940/review?entry=bmp&from=map&fromPanelNum=2&ts=1651581068377
27,스시마카세 역삼점,"초밥,롤",서울 강남구 논현로94길 7 스시마카세역삼점,0.0,https://pcmap.place.naver.com/restaurant/1491984679/review?entry=bmp&from=map&fromPanelNum=2&ts=1651581154424
