	10
분위기 좋구대화하기도 좋아요 ~🥰❤️🥂⭐️🌙	10
분위기도 너무 예쁘고 고급스럽고, 직원분들이 친절하시고, 바텐더님도 센스있으시고 재치있으세요!! 특히 칵테일이 진짜 맛있어요!! 먹어본 피치크러쉬 중에 이런 피치크러쉬 처음 먹어봐요!👍 메뉴에는 없었는데 카시스프라페 주문하니 바로 만들어주셨어요😚😊 다음에 또 와야겠어요ㅋㅋ	10
저음 와봤는데 위스키 가격 저렴하고 분위기 미쳤어요~~!! 강추 강추!!직원분들 짱짱 젠틀 하고	10
가게가 엄청 이쁘고 직원들이 너무 친절해서 좋았어요칵테일도 이쁘고 맛있었어요! 또 방문 할게요!	10
친구 생일파티해야해서 예약했는데 직원분들 친절하고 분위기 깡패에용!!! 직원분들도 너무 친절해서 ㅋㅋ부담..^^덕분에 기분좋게 놀다가요 ㅎ	10
오랜만에 왔는데 여전히 분위기 너무 좋고 노래좋고 인테리어 영화 셋트장 같아요!!!	10
처음 방문했는데 다들 너무 친절하시고 분위기도 너무 좋았습니다. 평상시 칵테일을 좋아하는 편이 아닌데 이곳에서는 기분좋게 마실 수 있는 것도 좋았습니다:)	10
올때마다 분위기좋은 라운지바 :) 친구 생일 기념으로 왔는데 오늘도 AY라운지 덕분에 행복한 시간보냈어요!	10
직원분들 엄청 친절하시고 분위기 좋아요~!	10
거리두기로 테이블 간격이 널널해서 안심하고 놀다왔어요 ! 분위기가 사진과 똑같이 너무 좋아서 사진 잔뜩 찍었네요	10
분위기 너무 좋고~직원분들도 친절해서 또 가고싶어요! ^^	10
분위기가 너무 좋아요❤️	10
생일이라 방문했는데 직원분들이 친절하고 분위기가 좋아서 기분좋게 놀다가요 데이트하기 딱 좋을듯	10
코로나로인해 오랜만에 와봤는데 AY라운지는여전히 멋지네요! 칵테일,안주,분위기 뭐 하나 빠지는게 없네요! 강력추천 합니다!!!	10
가장 바 같은 칵바이상 속에 그리던 주점이 있다면 그것은 바로 여기일 것이다.다음에 다시 올 것이다. 더욱 커진 배고픔을 안고	10
분위기 최고 다음엔 각자 남자친구 여자친구와 함께,,,,	10
분위기가 너무 좋고 친절해요! :)	10
