,상호명,소분류,도로명,별점,URL
0,쉐이크쉑 강남점,햄버거,서울 강남구 강남대로 452 (역삼동) 1층,4.44,https://pcmap.place.naver.com/restaurant/38291008/review?entry=bmp&from=map&fromPanelNum=1&ts=1652506173693
1,에그슬럿 코엑스점,샌드위치,서울 강남구 영동대로 513 (삼성동) 지하1층 101호,4.17,https://pcmap.place.naver.com/restaurant/1608633026/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507016735
2,쉐이크쉑 청담점,햄버거,서울 강남구 도산대로 327 (신사동) 1층,4.44,https://pcmap.place.naver.com/restaurant/876646309/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507036576
3,맥도날드 코엑스,햄버거,서울 강남구 영동대로 513 B1 A102,4.41,https://pcmap.place.naver.com/restaurant/37775514/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507134886
4,맥도날드 청담DT점,햄버거,서울 강남구 도산대로 407,4.39,https://pcmap.place.naver.com/restaurant/37402927/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507250613
5,노브랜드버거 코엑스점,햄버거,서울 강남구 영동대로 513 1층,4.32,https://pcmap.place.naver.com/restaurant/1512800005/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507325304
6,노브랜드버거 역삼역점,햄버거,서울 강남구 테헤란로 201 1층,4.43,https://pcmap.place.naver.com/restaurant/1767911850/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507358050
7,맥도날드 신사역점,햄버거,서울 강남구 도산대로 123 2층,4.41,https://pcmap.place.naver.com/restaurant/34721541/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507411946
8,버거킹 강남대로점,햄버거,서울 강남구 강남대로 406 GLASS TOWER,4.34,https://pcmap.place.naver.com/restaurant/13376211/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507429982
9,맥도날드 삼성DT점,햄버거,서울 강남구 봉은사로 432,4.4,https://pcmap.place.naver.com/restaurant/97087769/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507447543
10,버거킹 선릉역점,햄버거,서울 강남구 선릉로 429,4.4,https://pcmap.place.naver.com/restaurant/11684276/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507592675
11,버거킹 수서점,햄버거,서울 강남구 광평로 280 로즈데일오피스텔,4.32,https://pcmap.place.naver.com/restaurant/11629428/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507618439
12,맥도날드 압구정CGV점,햄버거,서울 강남구 논현로 848,4.28,https://pcmap.place.naver.com/restaurant/1880981147/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507759223
13,버거킹 청담점,햄버거,서울 강남구 선릉로 812,4.35,https://pcmap.place.naver.com/restaurant/11684281/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507785651
14,맥도날드 선릉점,햄버거,서울 강남구 테헤란로 326 역삼 아이타워,4.37,https://pcmap.place.naver.com/restaurant/19331864/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507802285
15,버거킹 신논현역점,햄버거,서울 강남구 봉은사로 105,4.39,https://pcmap.place.naver.com/restaurant/1526373632/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507820766
16,KFC 코엑스Mall,햄버거,서울 강남구 테헤란로87길 46 호텔오크우드프리미어,4.31,https://pcmap.place.naver.com/restaurant/36166442/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507842830
17,맥도날드 강남 2호점,햄버거,서울 강남구 테헤란로 107,4.32,https://pcmap.place.naver.com/restaurant/1687420221/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507903698
18,맥도날드 삼성역점,햄버거,서울 강남구 삼성로92길 29 도일빌딩,4.36,https://pcmap.place.naver.com/restaurant/31375180/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507928691
19,버거킹 차병원사거리점,햄버거,서울 강남구 봉은사로 179 H타워,4.36,https://pcmap.place.naver.com/restaurant/33352175/review?entry=bmp&from=map&fromPanelNum=1&ts=1652507996039
20,맥도날드 학동역점,햄버거,서울 강남구 논현로 667 진우빌딩,4.34,https://pcmap.place.naver.com/restaurant/35915322/review?entry=bmp&from=map&fromPanelNum=1&ts=1652508533026
21,맥도날드 한티점,햄버거,서울 강남구 도곡로 409 타워엠프리스,4.36,https://pcmap.place.naver.com/restaurant/19377480/review?entry=bmp&from=map&fromPanelNum=1&ts=1652508640586
