,상호명,소분류,도로명,별점,URL
0,중앙해장,해장국,서울 강남구 영동대로86길 17 육인빌딩,4.42,https://pcmap.place.naver.com/restaurant/37703543/review?entry=bmp&from=map&fromPanelNum=2&ts=1651432699402
1,도쿄등심 압구정점,소고기구이,서울 강남구 도산대로49길 9 스타크빌딩 3층,4.59,https://pcmap.place.naver.com/restaurant/1688133421/review?entry=bmp&from=map&fromPanelNum=2&ts=1651432905326
2,진미평양냉면,냉면,서울 강남구 학동로 305-3,4.31,https://pcmap.place.naver.com/restaurant/37912785/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481115038
3,정식당,한식,서울 강남구 선릉로158길 11,4.37,https://pcmap.place.naver.com/restaurant/13320884/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481153185
4,뱃고동,낙지요리,서울 강남구 언주로172길 54,4.28,https://pcmap.place.naver.com/restaurant/11700226/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481167735
5,장인닭갈비 강남점,닭갈비,서울 강남구 테헤란로1길 19,4.28,https://pcmap.place.naver.com/restaurant/37792495/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481179497
6,농민백암순대 본점,"순대,순댓국",서울 강남구 선릉로86길 40-4,4.49,https://pcmap.place.naver.com/restaurant/13149768/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481201284
7,탕탕집 논현본점,감자탕,서울 강남구 학동로4길 12,4.39,https://pcmap.place.naver.com/restaurant/37867681/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481219343
8,뽕나무쟁이 선릉본점,"족발,보쌈",서울 강남구 역삼로65길 31,4.42,https://pcmap.place.naver.com/restaurant/13468956/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481232791
9,새벽집 청담동점,소고기구이,서울 강남구 도산대로101길 6,4.23,https://pcmap.place.naver.com/restaurant/11680234/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481653197
10,리복집,"족발,보쌈",서울 강남구 학동로2길 45,4.4,https://pcmap.place.naver.com/restaurant/13419591/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481678585
11,호족반,한식,서울 강남구 언주로164길 39 1층,4.34,https://pcmap.place.naver.com/restaurant/1103092572/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481686538
12,도쿄등심 청담점,소고기구이,서울 강남구 도산대로81길 18 지상2층,4.52,https://pcmap.place.naver.com/restaurant/38274774/review?feedId=5655665
13,강남 돼지상회 무한리필,돼지고기구이,서울 강남구 강남대로98길 11 2층 메트로 빌딩 2층,4.63,https://pcmap.place.naver.com/restaurant/37653872/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481735161
14,무월식탁,한식,서울 강남구 강남대로102길 23,4.29,https://pcmap.place.naver.com/restaurant/38261837/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481746039
15,창고43 강남점,소고기구이,서울 강남구 강남대로 362 대륭강남타워 지하1층,4.45,https://pcmap.place.naver.com/restaurant/36952307/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481756288
16,삼육가 본점,"육류,고기요리",서울 강남구 강남대로114길 8,4.58,https://pcmap.place.naver.com/restaurant/37365742/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481768485
17,류몽민 논현본점,닭갈비,서울 강남구 학동로25길 11 씨플레이스 2층,4.74,https://pcmap.place.naver.com/restaurant/1562525784/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481791681
18,하동관 코엑스몰직영점,"곰탕,설렁탕",서울 강남구 영동대로 513 코엑스몰 B1 J101,4.36,https://pcmap.place.naver.com/restaurant/36112273/review?entry=bmp&from=map&fromPanelNum=2&ts=1651481812352
19,뱅뱅막국수,국수,"서울 강남구 도곡로 112 서한빌딩, 1층",4.69,https://pcmap.place.naver.com/restaurant/33964233/review?entry=bmp&from=map&fromPanelNum=2&ts=1651493823324
20,미사리밀빛초계국수 삼성코엑스몰점,"칼국수,만두",서울 강남구 영동대로 513 코엑스몰 B1 J114,4.36,https://pcmap.place.naver.com/restaurant/36166560/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494063085
21,농민백암순대 본점,국밥,서울 강남구 역삼로3길 20-4,4.51,https://pcmap.place.naver.com/restaurant/20694317/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494095012
22,참족,"족발,보쌈",서울 강남구 도곡로2길 14 1층,4.78,https://pcmap.place.naver.com/restaurant/38226320/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494111560
23,강남 곱,"곱창,막창,양",서울 강남구 역삼로3길 12,0.0,https://pcmap.place.naver.com/restaurant/985516513/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494132929
24,도쿄등심 도곡점,소고기구이,서울 강남구 남부순환로 2753 롯데시네마 도곡관 2층,4.79,https://pcmap.place.naver.com/restaurant/1356807025/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494191891
25,강강술래 역삼점,"육류,고기요리",서울 강남구 논현로 325 강강술래역삼점,4.36,https://pcmap.place.naver.com/restaurant/11589288/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494212877
26,고기꾼김춘배 강남점,돼지고기구이,서울 강남구 강남대로100길 13 3층,4.47,https://pcmap.place.naver.com/restaurant/37837518/review?feedId=9028766
27,두껍삼 역삼직영점,돼지고기구이,서울 강남구 테헤란로8길 17,0.0,https://pcmap.place.naver.com/restaurant/619673845/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494262063
28,피양콩할마니,한식,서울 강남구 삼성로81길 30,4.19,https://pcmap.place.naver.com/restaurant/12017005/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494281182
29,곱창고 강남역점,"곱창,막창,양",서울 강남구 강남대로96길 11,4.55,https://pcmap.place.naver.com/restaurant/37108078/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494298059
30,탐라도야지,돼지고기구이,서울 강남구 삼성로104길 13 삼성동149-27,4.73,https://pcmap.place.naver.com/restaurant/37026271/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494315595
31,백억하누 강남본점,소고기구이,"서울 강남구 테헤란로5길 29 1, 2층",4.55,https://pcmap.place.naver.com/restaurant/36237506/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494336293
32,까사생갈비,"육류,고기요리",서울 강남구 봉은사로2길 15,4.75,https://pcmap.place.naver.com/restaurant/593588180/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494362694
33,신둥궁감자탕 선릉직영점,감자탕,서울 강남구 선릉로86길 39,4.4,https://pcmap.place.naver.com/restaurant/18468954/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494382009
34,화기애애,"육류,고기요리",서울 강남구 강남대로106길 12,4.64,https://pcmap.place.naver.com/restaurant/37704319/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494396677
35,청담동 순도리,"순대,순댓국",서울 강남구 도산대로 510 신한 오피스텔 1층,4.53,https://pcmap.place.naver.com/restaurant/1691368632/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494426629
36,온돌 더프라임 강남점,"육류,고기요리",서울 강남구 테헤란로 129 강남N타워 지하1층,4.53,https://pcmap.place.naver.com/restaurant/1420667896/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494456615
37,무한리필 몽블리 강남역11번출구점,소고기구이,서울 강남구 강남대로96길 18,4.7,https://pcmap.place.naver.com/restaurant/1839993505/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494482460
38,수라선,"해물,생선요리",서울 강남구 언주로 517 신라스테이호텔 역삼 1층 대로변,4.29,https://pcmap.place.naver.com/restaurant/697597999/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494496841
39,장다리곱창,"곱창,막창,양",서울 강남구 압구정로46길 5-14 지상1층,4.72,https://pcmap.place.naver.com/restaurant/38556595/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494511858
40,명랑회관 선릉점,돼지고기구이,서울 강남구 삼성로85길 39 가리온,4.72,https://pcmap.place.naver.com/restaurant/37408131/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494529616
41,이대성의진면목,"칼국수,만두",서울 강남구 삼성로100길 23-3 1층,4.59,https://pcmap.place.naver.com/restaurant/1478316552/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494564769
42,명동관,한식,서울 강남구 남부순환로 2912,4.55,https://pcmap.place.naver.com/restaurant/18570828/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494580585
43,진대감 선릉점,소고기구이,서울 강남구 테헤란로70길 25 백합힐 1층,4.57,https://pcmap.place.naver.com/restaurant/34590424/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494599452
44,로제닭갈비,닭갈비,서울 강남구 강남대로96길 12,4.51,https://pcmap.place.naver.com/restaurant/38562941/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494613124
45,남다른감자탕 역삼본점,감자탕,서울 강남구 도곡로 203 1층,4.42,https://pcmap.place.naver.com/restaurant/1646343094/review?entry=bmp&from=map&fromPanelNum=2&ts=1651494629333
